split,capture_id,pose_id,frame_id,tag_id,corner_index,observed_u_px,observed_v_px,predicted_u_px,predicted_v_px,residual_u_px,residual_v_px,radial_error_px,depth_m
training,capture_012,pose_012,capture_012_002,5,1,556.4664916992188,272.1195068359375,558.7611854758927,268.86276264466466,2.2946937766739666,-3.256744191272844,3.9839681545032013,0.4022537055810175
training,capture_012,pose_012,capture_012_002,5,2,530.0338134765625,321.1785888671875,530.0176112394305,320.5424465151184,-0.016202237132006303,-0.6361423520691005,0.6363486501785709,0.3874119183391759
training,capture_012,pose_012,capture_012_002,5,3,470.6688537597656,304.5185852050781,467.8311988520054,301.9008392477271,-2.837654907760225,-2.617745957351019,3.8606837830575165,0.3941453167183282
training,capture_014,pose_014,capture_014_002,5,0,491.5855712890625,107.8786392211914,493.7544513333688,108.61821447868851,2.16888004430632,0.7395752574971084,2.2915087187466905,0.24163939386576272
training,capture_014,pose_014,capture_014_002,5,1,595.4732666015625,145.0868377685547,598.1699114291802,147.07285286383495,2.6966448276176607,1.9860150952802655,3.349051997953774,0.251285499760645
training,capture_014,pose_014,capture_014_002,5,2,567.820068359375,247.08770751953125,568.1883991513037,250.90973192379232,0.36833079192865625,3.8220244042610716,3.8397315165321118,0.25119189436495265
training,capture_014,pose_014,capture_014_002,5,3,463.4688720703125,214.7609100341797,462.5351667280447,216.58690629301273,-0.9337053422677855,1.8259962588330438,2.050870060109044,0.24154578847007038
training,capture_015,pose_015,capture_015_003,5,0,101.43427276611328,186.24705505371094,93.30597640661915,186.15026080651603,-8.12829635949413,-0.09679424719490726,8.128872666861964,0.2364626110010996
training,capture_015,pose_015,capture_015_003,5,1,222.83477783203125,196.54957580566406,219.72302290230823,197.1586834075252,-3.11175492972302,0.6091076018611261,3.1708091732711585,0.25252560174651745
training,capture_015,pose_015,capture_015_003,5,2,225.9357147216797,301.1326599121094,221.54969097677957,303.886081605687,-4.386023744900115,2.75342169357765,5.178661536873369,0.250570686284797
